               Entry              Nevents                           Time                    Temperature                         Energy                  H*                GeH2*                GeH3*                    H                   H2                 GeH2                 GeH3
                   1                    0         0.0000000000000000E+00         5.7300000000000000E+02         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0
                   2                   18         1.0000000000000000E+00         5.7300000000000000E+02        -3.7219999999999999E+01                   1                    1                   16                    0                    0                    0                  -17
                   3                   33         2.0000000000000000E+00         5.7300000000000000E+02        -6.7220000000000013E+01                   4                    4                   25                    0                    0                    0                  -29
                   4                   50         3.0000000000000000E+00         5.7300000000000000E+02        -1.0068000000000001E+02                   8                    8                   34                    0                    0                    0                  -42
                   5                   69         4.0000000000000000E+00         5.7300000000000000E+02        -1.4114000000000007E+02                  10                   10                   49                    0                    0                    0                  -59
                   6                   83         5.0000000000000000E+00         5.7300000000000000E+02        -1.6688000000000014E+02                  15                   15                   53                    0                    0                    0                  -68
                   7                   91         6.0000000000000000E+00         5.7300000000000000E+02        -1.8342000000000019E+02                  16                   16                   59                    0                    0                    0                  -75
                   8                  111         7.0000000000000000E+00         5.7300000000000000E+02        -2.2258000000000030E+02                  20                   20                   71                    0                    0                    0                  -91
                   9                  126         8.0000000000000000E+00         5.7300000000000000E+02        -2.5460000000000039E+02                  22                   22                   82                    0                    0                    0                 -104
                  10                  144         9.0000000000000000E+00         5.7300000000000000E+02        -2.9198000000000042E+02                  25                   25                   94                    0                    0                    0                 -119
                  11                  166         1.0000000000000000E+01         5.7300000000000000E+02        -3.3022000000000054E+02                  33                   33                  100                    0                    0                    0                 -133
                  12                  187         1.1000000000000000E+01         5.7300000000000000E+02        -3.6869000000000057E+02                  39                   39                  109                    0                    0                    0                 -148
                  13                  203         1.2000000000000000E+01         5.7300000000000000E+02        -3.9739000000000061E+02                  44                   44                  115                    0                    0                    0                 -159
                  14                  223         1.3000000000000000E+01         5.7300000000000000E+02        -4.3587000000000074E+02                  50                   50                  123                    0                    0                    0                 -173
                  15                  238         1.4000000000000000E+01         5.7300000000000000E+02        -4.5947000000000088E+02                  57                   57                  124                    0                    0                    0                 -181
                  16                  262         1.5000000000000000E+01         5.7300000000000000E+02        -5.0033000000000101E+02                  66                   66                  130                    0                    0                    0                 -196
                  17                  275         1.6000000000000000E+01         5.7300000000000000E+02        -5.2687000000000091E+02                  68                   68                  139                    0                    0                    0                 -207
                  18                  291         1.7000000000000000E+01         5.7300000000000000E+02        -5.5843000000000097E+02                  72                   72                  147                    0                    0                    0                 -219
                  19                  305         1.8000000000000000E+01         5.7300000000000000E+02        -5.8417000000000110E+02                  77                   77                  151                    0                    0                    0                 -228
                  20                  329         1.9000000000000000E+01         5.7300000000000000E+02        -6.3563000000000125E+02                  82                   82                  165                    0                    0                    0                 -247
                  21                  348         2.0000000000000000E+01         5.7300000000000000E+02        -6.7339000000000135E+02                  87                   87                  174                    0                    0                    0                 -261
                  22                  368         2.1000000000000000E+01         5.7300000000000000E+02        -7.0901000000000147E+02                  94                   94                  180                    0                    0                    0                 -274
                  23                  383         2.2000000000000000E+01         5.7300000000000000E+02        -7.2975000000000159E+02                 102                  102                  179                    0                    0                    0                 -281
                  24                  394         2.3000000000000000E+01         5.7300000000000000E+02        -7.4929000000000167E+02                 106                  106                  182                    0                    0                    0                 -288
                  25                  410         2.4000000000000000E+01         5.7300000000000000E+02        -7.8523000000000161E+02                 107                  107                  196                    0                    0                    0                 -303
                  26                  420         2.5000000000000000E+01         5.7300000000000000E+02        -8.0416000000000145E+02                 109                  109                  202                    0                    0                    0                 -311
                  27                  438         2.6000000000000000E+01         5.7300000000000000E+02        -8.3430000000000155E+02                 116                  116                  206                    0                    0                    0                 -322
                  28                  450         2.7000000000000000E+01         5.7300000000000000E+02        -8.5254000000000167E+02                 122                  122                  206                    0                    0                    0                 -328
                  29                  468         2.8000000000000000E+01         5.7300000000000000E+02        -8.8184000000000174E+02                 129                  129                  210                    0                    0                    0                 -339
                  30                  479         2.9000000000000000E+01         5.7300000000000000E+02        -9.0256000000000176E+02                 132                  132                  215                    0                    0                    0                 -347
                  31                  494         3.0000000000000000E+01         5.7300000000000000E+02        -9.2212000000000194E+02                 141                  141                  212                    0                    0                    0                 -353
                  32                  510         3.1000000000000000E+01         5.7300000000000000E+02        -9.4621000000000197E+02                 149                  149                  212                    0                    0                    0                 -361
                  33                  521         3.2000000000000000E+01         5.7300000000000000E+02        -9.6323000000000195E+02                 153                  153                  215                    0                    0                    0                 -368
                  34                  538         3.3000000000000000E+01         5.7300000000000000E+02        -9.8777000000000203E+02                 161                  161                  216                    0                    0                    0                 -377
                  35                  554         3.4000000000000000E+01         5.7300000000000000E+02        -1.0205100000000020E+03                 164                  164                  226                    0                    0                    0                 -390
                  36                  567         3.5000000000000000E+01         5.7300000000000000E+02        -1.0377900000000025E+03                 171                  171                  225                    0                    0                    0                 -396
                  37                  581         3.6000000000000000E+01         5.7300000000000000E+02        -1.0606700000000030E+03                 177                  177                  227                    0                    0                    0                 -404
                  38                  590         3.7000000000000000E+01         5.7300000000000000E+02        -1.0735500000000034E+03                 182                  182                  226                    0                    0                    0                 -408
                  39                  605         3.8000000000000000E+01         5.7300000000000000E+02        -1.1027100000000041E+03                 185                  185                  235                    0                    0                    0                 -420
                  40                  618         3.9000000000000000E+01         5.7300000000000000E+02        -1.1248700000000047E+03                 190                  190                  238                    0                    0                    0                 -428
                  41                  629         4.0000000000000000E+01         5.7300000000000000E+02        -1.1444100000000051E+03                 194                  194                  241                    0                    0                    0                 -435
                  42                  638         4.1000000000000000E+01         5.7300000000000000E+02        -1.1590800000000054E+03                 198                  198                  242                    0                    0                    0                 -440
                  43                  646         4.2000000000000000E+01         5.7300000000000000E+02        -1.1732600000000057E+03                 201                  201                  244                    0                    0                    0                 -445
                  44                  656         4.3000000000000000E+01         5.7300000000000000E+02        -1.1888800000000060E+03                 206                  206                  244                    0                    0                    0                 -450
                  45                  668         4.4000000000000000E+01         5.7300000000000000E+02        -1.2097500000000064E+03                 211                  211                  246                    0                    0                    0                 -457
                  46                  679         4.5000000000000000E+01         5.7300000000000000E+02        -1.2333300000000067E+03                 213                  213                  253                    0                    0                    0                 -466
                  47                  689         4.6000000000000000E+01         5.7300000000000000E+02        -1.2545100000000073E+03                 214                  214                  261                    0                    0                    0                 -475
                  48                  702         4.7000000000000000E+01         5.7300000000000000E+02        -1.2738100000000079E+03                 220                  220                  262                    0                    0                    0                 -482
                  49                  710         4.8000000000000000E+01         5.7300000000000000E+02        -1.2879900000000082E+03                 223                  223                  264                    0                    0                    0                 -487
                  50                  720         4.9000000000000000E+01         5.7300000000000000E+02        -1.3059700000000087E+03                 226                  226                  268                    0                    0                    0                 -494
                  51                  731         5.0000000000000000E+01         5.7300000000000000E+02        -1.3252800000000091E+03                 230                  230                  271                    0                    0                    0                 -501
                  52                  737         5.1000000000000000E+01         5.7300000000000000E+02        -1.3329100000000094E+03                 233                  233                  271                    0                    0                    0                 -504
                  53                  751         5.2000000000000000E+01         5.7300000000000000E+02        -1.3587600000000100E+03                 237                  237                  277                    0                    0                    0                 -514
                  54                  767         5.3000000000000000E+01         5.7300000000000000E+02        -1.3830800000000106E+03                 245                  245                  277                    0                    0                    0                 -522
                  55                  777         5.4000000000000000E+01         5.7300000000000000E+02        -1.4019000000000110E+03                 248                  248                  281                    0                    0                    0                 -529
                  56                  784         5.5000000000000000E+01         5.7300000000000000E+02        -1.4121600000000112E+03                 252                  252                  280                    0                    0                    0                 -532
                  57                  788         5.6000000000000000E+01         5.7300000000000000E+02        -1.4190800000000113E+03                 254                  254                  280                    0                    0                    0                 -534
                  58                  796         5.7000000000000000E+01         5.7300000000000000E+02        -1.4330300000000116E+03                 257                  257                  282                    0                    0                    0                 -539
                  59                  804         5.8000000000000000E+01         5.7300000000000000E+02        -1.4463700000000119E+03                 260                  260                  284                    0                    0                    0                 -544
                  60                  811         5.9000000000000000E+01         5.7300000000000000E+02        -1.4581500000000124E+03                 262                  262                  287                    0                    0                    0                 -549
                  61                  819         6.0000000000000000E+01         5.7300000000000000E+02        -1.4700800000000127E+03                 266                  266                  287                    0                    0                    0                 -553
                  62                  830         6.1000000000000000E+01         5.7300000000000000E+02        -1.4904600000000130E+03                 270                  270                  290                    0                    0                    0                 -560
                  63                  839         6.2000000000000000E+01         5.7300000000000000E+02        -1.5079900000000132E+03                 273                  273                  293                    0                    0                    0                 -566
                  64                  847         6.3000000000000000E+01         5.7300000000000000E+02        -1.5253700000000135E+03                 274                  274                  299                    0                    0                    0                 -573
                  65                  852         6.4000000000000000E+01         5.7300000000000000E+02        -1.5350300000000136E+03                 276                  276                  300                    0                    0                    0                 -576
                  66                  857         6.5000000000000000E+01         5.7300000000000000E+02        -1.5446900000000137E+03                 278                  278                  301                    0                    0                    0                 -579
                  67                  863         6.6000000000000000E+01         5.7300000000000000E+02        -1.5540000000000139E+03                 281                  281                  301                    0                    0                    0                 -582
                  68                  869         6.7000000000000000E+01         5.7300000000000000E+02        -1.5624700000000141E+03                 284                  284                  301                    0                    0                    0                 -585
                  69                  880         6.8000000000000000E+01         5.7300000000000000E+02        -1.5791500000000146E+03                 289                  289                  302                    0                    0                    0                 -591
                  70                  893         6.9000000000000000E+01         5.7300000000000000E+02        -1.6034400000000153E+03                 292                  292                  309                    0                    0                    0                 -601
